concept id	name	element file id
FMA13921	branch of anterior interventricular branch of left coronary artery	FJ2632
FMA86187	segment of arterial tree organ	FJ1718M
FMA82472	cardinal organ part	FJ1433M
FMA14341	right testicular vein	FJ3618
FMA8499	eleventh rib	FJ3226
FMA5022	muscle organ	FJ1439M
FMA67135	anatomical structure	FJ3152
FMA67165	material anatomical entity	FJ1395
FMA7909	right third rib	FJ3338
FMA61820	segment of cerebral hemisphere	FJ1834
FMA7477	irregular bone	FJ3160
FMA67165	material anatomical entity	FJ3340
FMA67498	organ	FJ3218
FMA7592	true rib	FJ3340
FMA7592	true rib	FJ3336
FMA68235	anterior segmental bronchial tree	FJ2467
FMA55673	organ with cavitated organ parts	FJ3344
FMA34677	clavicular part of deltoid	FJ1468
FMA67619	organ region	FJ2897
FMA55268	organ zone	FJ1442M
FMA62955	anatomical entity	FJ2108
FMA55671	cavitated organ	FJ3338
FMA32518	deep extrinsic muscle of shoulder	FJ1459
FMA67165	material anatomical entity	FJ2928
FMA68213	right posterior segmental bronchial tree	FJ2515
FMA50720	artery	FJ2996
FMA50722	region of vascular tree organ	FJ2674
FMA50028	anterior cerebral artery	FJ1654
FMA86187	segment of arterial tree organ	FJ1654
FMA67396	articular disk of symphysis	FJ3205
FMA66464	systemic artery	FJ2158
FMA9921	lumbar vertebra	FJ3157
FMA9921	lumbar vertebra	FJ3165
FMA49443	anatomical cluster	FJ2281
FMA85453	head of muscle organ	FJ1477M
FMA5018	bone organ	FJ3173
FMA55676	segment of brain	FJ1842
FMA67165	material anatomical entity	FJ1442M
FMA62955	anatomical entity	FJ3202
FMA67165	material anatomical entity	FJ3272
FMA67135	anatomical structure	FJ3166
FMA8337	ninth rib	FJ3236
FMA67165	material anatomical entity	FJ3074
FMA7592	true rib	FJ3234
FMA67135	anatomical structure	FJ1395
FMA70429	subdivision of celiac artery	FJ3409
FMA5022	muscle organ	FJ2800
FMA55268	organ zone	FJ1397M
FMA62955	anatomical entity	FJ1447
FMA62955	anatomical entity	FJ3309
FMA7477	irregular bone	FJ3371
FMA5018	bone organ	FJ3346
FMA86140	organ segment	FJ2258
